"code","group","desc"
"1","Other lab:1000071838","Other lab","budding yeast"
"2","PheCode:402","PheCode","elevated blood pressure reading without diagnosis of hypertension"
"3","PheCode:272.11","PheCode","hypercholesterolemia"
"4","PheCode:772","PheCode","symptoms of the muscles"
"5","PheCode:433","PheCode","cerebrovascular disease"
"6","PheCode:276","PheCode","disorders of fluid, electrolyte, and acid-base balance"
"7","PheCode:724.9","PheCode","other unspecified back disorders"
"8","PheCode:250","PheCode","diabetes mellitus"
"9","PheCode:429","PheCode","ill-defined descriptions and complications of heart disease"
"10","PheCode:420","PheCode","carditis"
"11","PheCode:698","PheCode","pruritus and related conditions"
"12","PheCode:585.3","PheCode","chronic renal failure [ckd]"
"13","PheCode:296.22","PheCode","major depressive disorder"
"14","PheCode:721","PheCode","spondylosis and allied disorders"
"15","PheCode:261","PheCode","vitamin deficiency"
"16","PheCode:716","PheCode","other arthropathies"
"17","RXNORM:1002293","RXNORM","formoterol/mometasone"
"18","RXNORM:7407","RXNORM","nicotine"
"19","CCS:233","CCS","laboratory - chemistry and hematology"
"20","CCS:226","CCS","other diagnostic radiology and related techniques"
"21","CCS:243","CCS","dme and supplies"
"22","CCS:219","CCS","alcohol and drug rehabilitation/detoxification"
"23","ShortName:Bilirubin Total","ShortName","bilirubin total"
"24","ShortName:Neut - Abs","ShortName","neutrophil - absolute count"
"25","ShortName:Bilirubin Stick","ShortName","bilirubin stick"
"26","ShortName:Neut - Fra","ShortName","neutrophil - fractional value"
"27","ShortName:RBC","ShortName","red blood cell"
"28","ShortName:Creat - BSP","ShortName","serum creatinine"
"29","Other lab:1400019640","Other lab","barbiturates, qual, urine"
"30","LOINC:13945-1","LOINC","erythrocytes [#/area] in urine sediment by microscopy high power field"
"31","Other lab:1200090601","Other lab","irf"
"32","LOINC:772-4","LOINC","nucleated erythrocytes [#/volume] in blood by manual count"
"33","LOINC:2514-8","LOINC","ketones [presence] in urine by test strip"
"34","Other lab:1200023792","Other lab","urine glucose"
"35","LOINC:5778-6","LOINC","color of urine"
"36","LOINC:29615-2","LOINC","hepatitis b virus dna [#/volume] (viral load) in serum or plasma by naa with probe detection"
"37","LOINC:58413-6","LOINC","nucleated erythrocytes/100 leukocytes [ratio] in blood by automated count"
"38","Other lab:1000090252","Other lab","valproic acid(..7/19)**ia"
"39","C0002144","CHEM","Allopurinol"
"40","C0002210","CHEM","alpha-Fetoproteins"
"41","C0003209","CHEM","Anti-Inflammatory Agents"
"42","C0011206","DISO","Delirium"
"43","C0012817","DISO","Diverticulum"
"44","C0013182","DISO","Drug Allergy"
"45","C0016141","PHEN","Fire - disasters"
"46","C0016204","DISO","Flatulence"
"47","C0016248","PHEN","Floods"
"48","C0020542","DISO","Pulmonary Hypertension"
"49","C0020676","DISO","Hypothyroidism"
"50","C0022100","PROC","Irrigation"
"51","C0027651","DISO","Neoplasms"
"52","C0030353","DISO","Papilledema"
"53","C0037216","CHEM","4-Acetamido-4'-isothiocyanatostilbene-2,2'-disulfonic Acid"
"54","C0042909","DISO","Vitreous Hemorrhage"
"55","C0061452","CHEM","Gluma - Dentine bonding agent"
"56","C0085619","DISO","Orthopnea"
"57","C0200665","PROC","Platelet mean volume determination (procedure)"
"58","C0202691","PROC","CAT scan of head"
"59","C0211273","CHEM","EOS composite inlay material"
"60","C0231517","ACTI","Rigid Behavior"
"61","C0238844","DISO","Decreased breath sounds"
"62","C0239833","DISO","Hand pain"
"63","C0280103","PROC","carboplatin/ifosfamide"
"64","C0286677","CHEM","Flonase"
"65","C0418416","DISO","Pinched"
"66","C0421451","DISO","Patient date of birth"
"67","C0452240","PROC","Physical therapy exercises"
"68","C0557869","DISO","Introvert"
"69","C0683270","PHYS","human needs"
"70","C0720131","CHEM","E.N.T."
"71","C0870485","PHYS","emotional responses"
"72","C0065374","CHEM","Lisinopril"
"73","C1456687","DISO","Polio and Post-Polio Syndrome"
"74","PheCode:781","PheCode","symptoms involving nervous and musculoskeletal systems"
"75","PheCode:427","PheCode","cardiac dysrhythmias"
"76","PheCode:070","PheCode","viral hepatitis"
"77","PheCode:521","PheCode","diseases of hard tissues of teeth"
"78","PheCode:300","PheCode","anxiety, phobic and dissociative disorders"
"79","RXNORM:709699","RXNORM","dressing"
"80","RXNORM:82122","RXNORM","levofloxacin"
"81","CCS:177","CCS","computerized axial tomography (ct) scan head"
"82","CCS:227","CCS","other diagnostic procedures (interview, evaluation, consultation)"
"83","CCS:234","CCS","pathology"
"84","CCS:29","CCS","oral and dental services"
"85","ShortName:ALT","ShortName","alanine aminotransferase"
"86","ShortName:BUN - BSP","ShortName","blood urea nitrogen"
"87","ShortName:Bicarbonate","ShortName","bicarbonate"
"88","ShortName:Eos - Abs","ShortName","eosinophil - absolute count"
"89","ShortName:HDLC","ShortName","high density lipoprotein cholesterol"
"90","LOINC:3016-3","LOINC","thyrotropin [units/volume] in serum or plasma"
"91","C0423798","DISO","Increased tendency to bruise"
"92","C0721455","CHEM","Lubriderm"
"93","PheCode:695","PheCode","erythematous conditions"
"94","PheCode:296","PheCode","mood disorders"
"95","PheCode:288","PheCode","diseases of white blood cells"
"96","PheCode:110.12","PheCode","althete's foot"
"97","CCS:235","CCS","other laboratory"
"98","CCS:218","CCS","psychological and psychiatric evaluation and therapy"
"99","CCS:47","CCS","diagnostic cardiac catheterization, coronary arteriography"
"100","ShortName:Lymph - Fra","ShortName","lymphocyte - fractional value"
"101","ShortName:Phosphatase Alkaline","ShortName","phosphatase alkaline"
"102","LOINC:738-5","LOINC","macrocytes [presence] in blood by light microscopy"
"103","LOINC:71776-9","LOINC","gamma interferon background [units/volume] in blood by immunoassay"
"104","LOINC:2777-1","LOINC","phosphate [mass/volume] in serum or plasma"
"105","LOINC:3349-8","LOINC","amphetamines [presence] in urine"
"106","LOINC:2614-6","LOINC","methemoglobin/hemoglobin.total in blood"
"107","LOINC:5774-5","LOINC","calcium oxalate crystals [presence] in urine sediment by light microscopy"
"108","LOINC:12258-0","LOINC","epithelial cells.squamous [presence] in urine sediment by light microscopy"
"109","LOINC:8247-9","LOINC","mucus [presence] in urine sediment by light microscopy"
"110","LOINC:5196-1","LOINC","hepatitis b virus surface ag [presence] in serum or plasma by immunoassay"
"111","LOINC:1798-8","LOINC","amylase [enzymatic activity/volume] in serum or plasma"
"112","Other lab:1000051687","Other lab","urine sodium"
"113","Other lab:800025278","Other lab","urine glucose"
"114","C0000768","DISO","Congenital Abnormality"
"115","C0001948","ACTI","Alcohol consumption"
"116","C0011468","CHEM","Deodorants"
"117","C0011620","DISO","Stasis dermatitis"
"118","C0018464","ACTI","Behaviorial Habits"
"119","C0019112","DISO","Hemorrhoids"
"120","C0019209","DISO","Hepatomegaly"
"121","C0024480","CHEM","Magnesium Sulfate"
"122","C0036557","CHEM","Sedatives"
"123","C0039796","PROC","Therapeutics"
"124","C0151601","DISO","Conjunctival edema"
"125","C0239134","DISO","Productive Cough"
"126","C0243463","CHEM","2,2,6,6-tetramethyl-1-oxylpiperidinyl succinic acid"
"127","C0340708","DISO","Deep vein thrombosis of lower limb"
"128","C0423153","DISO","Lacrimation"
"129","C0475371","DISO","T0 stage"
"130","C0517385","DISO","Peripheral pulse palpable"
"131","C0582147","DISO","At risk of infection"
"132","C0039468","CHEM","Temazepam"
"133","C0728762","CHEM","Synthroid"
"134","C0878544","DISO","Cardiomyopathies"
"135","C1313983","DISO","Acute contagious conjunctivitis"
"136","C2699469","PROC","Crenated Cell Measurement"
"137","PheCode:594","PheCode","urinary calculus"
"138","PheCode:605","PheCode","erectile dysfunction [ed]"
"139","PheCode:760","PheCode","back pain"
"140","PheCode:331.9","PheCode","cerebral degeneration, unspecified"
"141","PheCode:455","PheCode","hemorrhoids"
"142","PheCode:165","PheCode","cancer within the respiratory system"
"143","PheCode:707","PheCode","chronic ulcer of skin"
"144","PheCode:274.11","PheCode","gouty arthropathy"
"145","PheCode:317","PheCode","alcohol-related disorders"
"146","RXNORM:7646","RXNORM","omeprazole"
"147","RXNORM:15996","RXNORM","mirtazapine"
"148","RXNORM:46041","RXNORM","alendronate"
"149","CCS:232","CCS","anesthesia"
"150","RXNORM:4337","RXNORM","fentanyl"
"151","ShortName:eGFR","ShortName","estimated glomerular filtration rate"
"152","ShortName:Glucose","ShortName","glucose"
"153","ShortName:Mono - Abs","ShortName","monocyte - absolute count"
"154","ShortName:Mono - Fra","ShortName","monocyte - fractional value"
"155","ShortName:Sodium - BSP","ShortName","serum sodium"
"156","ShortName:Chloride - BSP","ShortName","serum chloride"
"157","ShortName:RDW","ShortName","red cell distribution width"
"158","ShortName:Albumin","ShortName","serum albumin"
"159","LOINC:5803-2","LOINC","ph of urine by test strip"
"160","LOINC:3390-2","LOINC","benzodiazepines [presence] in urine"
"161","LOINC:18282-4","LOINC","cannabinoids [presence] in urine by screen method"
"162","LOINC:56888-1","LOINC","hiv 1+2 ab+hiv1 p24 ag [presence] in serum or plasma by immunoassay"
"163","C0004749","CHEM","Barium"
"164","C0007138","DISO","Carcinoma, Transitional Cell"
"165","C0010399","ACTI","Crying"
"166","C0012373","CHEM","Diltiazem"
"167","C0016410","CHEM","Folic Acid"
"168","C0017922","DISO","Glycogen Storage Disease Type III"
"169","C0022634","CHEM","Ketones"
"170","C0032821","CHEM","Potassium"
"171","C0038018","DISO","Spondylolysis"
"172","C0079774","DISO","Peripheral T-Cell Lymphoma"
"173","C0085296","CHEM","Proto-Oncogene Proteins c-jun"
"174","C0242428","PHYS","Satisfaction"
"175","C0280007","PROC","doxorubicin/floxuridine/mitomycin protocol"
"176","C0280598","PROC","doxorubicin/vincristine protocol"
"177","C0313040","CHEM","Blood group antigen KEL 1"
"178","C0423628","DISO","Painful teething"
