row,col,p,fdr
100,154,0,0
153,564,0,0
87,156,0,0
234,287,0,0
234,239,0,0
239,287,0,0
87,240,0,0
87,155,0,0
234,1686,0,0
287,1686,0,0
27,234,0,0
199,234,0,0
199,287,0,0
27,287,0,0
87,152,0,0
239,1686,0,0
88,153,0,0
234,238,0,0
238,287,0,0
27,239,0,0
199,239,0,0
238,1686,0,0
155,240,0,0
27,1686,0,0
238,239,0,0
199,1686,0,0
28,87,0,0
155,156,0,0
156,240,0,0
27,199,0,0
86,87,0,0
27,238,0,0
234,288,0,0
199,238,0,0
28,155,0,0
287,288,0,0
154,916,0,0
154,197,0,0
157,238,0,0
100,916,0,0
288,1686,0,0
152,240,0,0
190,686,0,0
152,156,0,0
239,288,0,0
24,26,0,0
28,240,0,0
152,155,0,0
28,152,0,0
100,197,0,0
28,156,0,0
86,156,0,0
27,288,0,0
19,82,0,0
199,288,0,0
157,234,0,0
87,288,0,0
238,288,0,0
86,240,0,0
86,155,0,0
157,287,0,0
157,1686,0,0
24,88,0,0
157,239,0,0
86,152,0,0
87,234,0,0
27,157,0,0
88,564,0,0
28,86,0,0
240,288,0,0
86,288,0,0
157,199,0,0
155,288,0,0
87,287,0,0
87,1686,0,0
157,288,0,0
152,234,0,0
87,239,0,0
86,234,0,0
152,288,0,0
27,87,0,0
156,288,0,0
234,240,0,0
86,287,0,0
155,234,0,0
152,287,0,0
87,238,0,0
86,1686,0,0
240,287,0,0
86,239,0,0
155,287,0,0
28,288,0,0
87,199,0,0
152,1686,0,0
240,1686,0,0
152,239,0,0
156,234,0,0
155,1686,0,0
86,238,0,0
239,240,0,0
156,287,0,0
27,86,0,0
155,239,0,0
152,238,0,0
86,199,0,0
28,234,0,0
156,1686,0,0
27,155,0,0
238,240,0,0
27,240,0,0
28,287,0,0
199,240,0,0
156,239,0,0
155,238,0,0
27,152,0,0
157,197,0,0
154,157,0,0
28,1686,0,0
155,199,0,0
100,157,0,0
145,584,0,0
27,156,0,0
156,238,0,0
28,239,0,0
24,153,0,0
152,199,0,0
156,199,0,0
27,28,0,0
28,238,0,0
12,2225,0,0
28,199,0,0
26,197,0,0
87,157,0,0
104,1260,0,0
153,154,0,0
100,153,0,0
86,157,0,0
198,287,0,0
197,234,0,0
197,1686,0,0
197,287,0,0
153,916,0,0
154,234,0,0
157,240,0,0
88,198,0,0
152,157,0,0
197,239,0,0
19,97,0,0
198,1686,0,0
154,287,0,0
198,234,0,0
100,234,0,0
155,157,0,0
197,288,0,0
100,1686,0,0
197,238,0,0
154,1686,0,0
26,154,0,0
197,916,0,0
27,198,0,0
198,239,0,0
154,239,0,0
100,287,0,0
157,198,0,0
100,239,0,0
156,157,0,0
24,564,0,0
197,199,0,0
26,100,0,0
198,238,0,0
154,238,0,0
22,584,0,0
100,238,0,0
27,197,0,0
28,157,0,0
27,154,0,0
154,199,0,0
198,288,0,0
27,100,0,0
198,199,0,0
100,199,0,0
394,1792,0,0
88,197,0,0
154,564,0,0
3963,14749,0,0
23,101,0,0
100,288,0,0
154,288,0,0
100,564,0,0
88,287,0,0
87,198,0,0
88,1686,0,0
157,916,0,0
88,234,0,0
88,239,0,0
87,1260,0,0
88,238,0,0
27,88,0,0
87,154,0,0
86,198,0,0
87,100,0,0
564,916,0,0
88,199,0,0
78,98,0,0
86,154,0,0
86,100,0,0
564,633,0,0
24,287,0,0
152,198,0,0
101,466,0,0
78,3768,0,0
24,197,0,0
287,916,0,0
154,240,0,0
87,197,0,0
86,197,0,0
100,240,0,0
88,157,0,0
156,198,0,0
198,240,0,0
234,916,0,0
153,198,0,0
88,154,0,0
916,1686,0,0
26,157,0,0
88,288,0,0
159,471,0,0
24,1686,0,0
156,1260,0,0
155,198,0,0
1406,4843,0,0
450,471,0,0
239,916,0,0
88,100,0,0
197,198,0,0
22,145,0,0
24,239,0,0
240,1260,0,0
88,916,0,0
27,916,0,0
24,234,0,0
155,1260,0,0
24,238,0,0
238,916,0,0
98,584,0,0
154,155,0,0
